
"PP012 - Age"
"ONS Crown Copyright Reserved [from Nomis on 3 October 2025]"
"Population :","All usual residents in parishes"
"Units      :","Persons"
"Date       :","2021"

"2022 parish","Total","Aged 65 years and over"

"Abbas and Templecombe",1653,406
"Alford (South Somerset)",90,32
"Aller",383,105
"Ansford",1169,358
"Ash (South Somerset)",613,148
"Ashill (South Somerset)",563,167
"Babcary",260,75
"Barrington (South Somerset)",419,133
"Barton St. David",523,182
"Barwick and Stoford",1220,357
"Beercrocombe",160,58
"Bratton Seymour",122,18
"Brewham",441,126
"Broadway (South Somerset)",834,235
"Bruton",2872,575
"Brympton",8067,1121
"Buckland St Mary",544,142
"Castle Cary",2427,785
"Chaffcombe",231,82
"Chard Town",14327,3416
"Charlton Horethorne",600,232
"Charlton Musgrove",455,109
"Chillington",110,33
"Chilthorne Domer",551,135
"Chilton Cantelo",105,26
"Chiselborough",283,90
"Closworth",201,55
"Combe St Nicholas",1321,525
"Compton Dundon",752,222
"Compton Pauncefoot",128,57
"Corton Denham",196,75
"Crewkerne",7329,2085
"Cricket St. Thomas",-,-
"Cucklington",187,61
"Cudworth",51,16
"Curry Mallet",336,84
"Curry Rivel",2403,784
"Dinnington (South Somerset)",71,21
"Donyatt",390,97
"Dowlish Wake",272,115
"Drayton (South Somerset)",358,125
"East Chinnock",500,145
"East Coker",1683,606
"Fivehead",613,230
"Hambridge and Westport",536,134
"Hardington Mandeville",566,186
"Haselbury Plucknett",721,232
"Henstridge",1895,518
"High Ham",938,281
"Hinton St. George",380,183
"Holton (South Somerset)",269,87
"Horsington (South Somerset)",579,198
"Horton (South Somerset)",807,343
"Huish Episcopi",2482,738
"Ilchester",2057,278
"Ilminster",5989,1711
"Ilton",1080,231
"Isle Abbotts",202,58
"Isle Brewers",156,38
"Keinton Mandeville",1233,323
"Kingsbury Episcopi",1348,394
"Kingsdon",367,112
"Kingstone (South Somerset)",108,41
"Kingweston",84,19
"Knowle St. Giles",157,69
"Langport",1195,298
"Long Load",313,126
"Long Sutton (South Somerset)",859,299
"Lopen",251,88
"Lovington",196,52
"Maperton",110,29
"Marston Magna",515,166
"Martock",4670,1347
"Merriott",2067,614
"Milborne Port",3207,841
"Misterton (South Somerset)",1046,289
"Montacute",683,198
"Muchelney",189,55
"Mudford",733,222
"North Barrow",139,41
"North Cadbury",1002,308
"North Cheriton",236,65
"North Perrott",268,96
"Norton sub Hamdon",756,248
"Odcombe",744,203
"Pen Selwood",316,119
"Pitcombe",388,92
"Pitney",346,134
"Puckington",119,38
"Queen Camel",936,259
"Rimpton",237,83
"Seavington St Mary",436,149
"Seavington St Michael",95,38
"Shepton Beauchamp",745,214
"Shepton Montague",209,48
"Somerton (South Somerset)",5489,1644
"South Barrow",167,31
"South Cadbury and Sutton Montis",332,91
"South Petherton",3735,1283
"Sparkford",748,171
"Stocklinch",132,45
"Stoke Trister",323,106
"Stoke sub Hamdon",2144,532
"Tatworth and Forton",2741,844
"The Charltons",1009,364
"Tintinhull",942,319
"Wambrook",206,51
"Wayford",105,35
"West Camel",453,174
"West Coker",2073,542
"West Crewkerne",524,161
"West and Middle Chinnock",596,176
"Whitelackington",174,52
"Whitestaunton",288,95
"Wincanton",6577,1412
"Winsham",743,254
"Yarlington",101,38
"Yeovil",31894,6123
"Yeovil Without",8982,1943
"Yeovilton and District",1384,152

"-","These figures are missing."

"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

"","This dataset includes only parishes with a population of at least"
"","50 usual residents and at least 20 households. Data for parishes"
"","below these thresholds are shown as missing."
"",""

