agent_id,agent_care_capacity,micro_quality,has_capacity,allocated_residents,packages_of_care_delivered
0,46.5,0.648,False,"[227, 580]","[40.2, 19.0]"
1,12.0,0.92,False,"[153, 744]","[10.6, 3.1]"
2,40.1,0.528,False,"[712, 141]","[5.6, 34.8]"
3,26.0,0.062,False,"[298, 831, 517]","[19.0, 3.1, 11.0]"
4,45.6,0.405,False,"[593, 634, 174]","[13.2, 25.6, 37.0]"
5,29.7,0.041,True,[304],[5.2]
6,22.5,0.906,False,"[271, 100]","[16.4, 19.5]"
7,49.6,0.341,False,"[464, 605, 70]","[24.7, 15.1, 31.2]"
8,20.4,0.483,False,"[403, 360, 611]","[1.8, 7.9, 16.5]"
9,47.0,0.797,False,"[559, 290]","[43.6, 4.4]"
10,28.0,0.05,True,"[792, 787]","[1.7, 25.0]"
11,25.8,0.64,False,"[272, 539]","[13.0, 14.3]"
12,42.1,0.217,True,"[678, 122]","[3.8, 5.7]"
13,43.1,0.63,False,"[576, 444, 285]","[12.9, 14.7, 32.7]"
14,49.2,0.874,False,"[191, 779]","[43.0, 9.8]"
15,43.3,0.498,False,"[623, 203]","[37.8, 9.5]"
16,32.3,0.712,False,"[382, 449]","[24.9, 30.1]"
17,30.9,0.654,False,"[766, 858]","[20.2, 25.7]"
18,27.8,0.215,False,"[243, 378, 657]","[14.5, 12.9, 13.7]"
19,42.6,0.342,False,"[556, 731, 350]","[9.5, 22.9, 10.5]"
20,30.2,0.916,False,"[281, 115]","[20.4, 17.0]"
21,26.6,0.998,False,"[515, 140]","[24.4, 20.9]"
22,28.3,0.703,False,"[288, 164, 719]","[7.1, 19.0, 17.1]"
23,17.5,0.803,False,"[832, 250]","[11.5, 6.1]"
24,46.8,0.932,False,"[95, 555, 132]","[28.6, 11.8, 35.5]"
25,38.2,0.916,False,"[28, 640]","[20.5, 21.2]"
26,44.1,0.429,False,"[79, 777, 502]","[17.9, 14.0, 30.3]"
27,16.5,0.14,False,"[50, 452]","[16.0, 5.9]"
28,19.6,0.36,False,"[695, 772, 180]","[14.9, 2.0, 7.0]"
29,13.1,0.195,False,"[814, 806, 664, 512]","[5.3, 5.1, 1.7, 5.3]"
30,28.9,0.791,False,"[219, 32]","[14.5, 27.7]"
