agent_id,care_needs_met,agent_care_needs,micro_quality_threshold,allocated_microproviders,packages_of_care_received,microproviders_to_recommend,blacklisted_microproviders,unpaidcarers,unpaidcare_rec
0,False,21.0,0.927,[],[],[],[],[],[]
1,False,19.6,0.22,[],[],[],[],[],[]
2,True,19.3,0.688,[37],[22.1],[37],[],[],[]
3,False,19.9,0.27,[],[],[],[],[],[]
4,False,20.5,0.89,[],[],[],[],[],[]
6,False,19.6,0.099,[],[],[],[],[],[]
7,False,21.1,0.479,[],[],[],[],[],[]
8,False,18.9,0.889,[],[],[],[],[],[]
9,False,20.2,0.332,[],[],[],[],[],[]
10,False,21.0,0.502,[49],[9.3],[],[],[],[]
11,False,20.1,0.685,[],[],[],[],[],[]
12,False,18.8,0.661,[],[],[],[],[],[]
13,False,20.2,0.457,[],[],[],[],[],[]
14,False,20.4,0.626,[],[],[],[],[],[]
15,False,21.7,0.838,[],[],[],[],[],[]
16,False,20.3,0.37,[82],[8.0],[],[],[],[]
17,False,17.7,0.616,[86],[11.1],[],[],[],[]
18,True,20.5,0.171,[63],[41.1],[63],[],[],[]
19,False,19.1,0.126,[],[],[],[],[],[]
20,False,20.3,0.531,[],[],[],[],[],[]
21,False,18.8,0.943,[],[],[],[],[],[]
22,False,20.0,0.42,[],[],[],[],[],[]
23,False,18.8,0.545,[],[],[],[],[],[]
24,False,20.6,0.894,[],[],[],[],[],[]
25,False,20.8,0.642,[],[],[],[],[],[]
27,False,19.8,0.612,[],[],[],[],[],[]
28,True,19.6,0.435,[25],[20.5],[25],[],[],[]
29,True,20.5,0.252,[48],[33.8],[],[],[],[]
30,False,21.6,0.314,[],[],[],[],[],[]
31,False,22.7,0.961,[],[],[],[],[],[]
32,True,19.1,0.273,[30],[27.7],[],[],[],[]
33,False,20.3,0.194,[],[],[],[],[],[]
34,False,21.2,0.929,[],[],[],[],[],[]
35,False,20.5,0.482,[],[],[],[],[],[]
36,False,17.5,0.415,[],[],[],[],[],[]
37,True,21.6,0.342,[52],[23.8],[],[],[],[]
38,False,18.2,0.511,[],[],[],[],[],[]
39,False,19.8,0.98,[],[],[],[],[],[]
40,False,19.2,0.467,[],[],[],[],[],[]
41,False,20.4,0.067,[],[],[],[],[],[]
42,False,18.8,0.558,[],[],[],[],[],[]
43,False,20.8,0.214,[],[],[],[],[],[]
44,False,19.3,0.466,[],[],[],[],[],[]
45,False,19.0,0.848,[],[],[],[],[],[]
46,False,18.6,0.098,[],[],[],[],[],[]
47,False,20.0,0.06,[83],[1.0],[],[],[],[]
48,False,20.2,0.038,[],[],[],[],[],[]
49,False,19.2,0.707,[],[],[],[],[],[]
50,False,20.0,0.123,[27],[16.0],[],[],[],[]
51,False,21.5,0.757,[],[],[],[],[],[]
52,False,19.1,0.855,[],[],[],[],[],[]
53,False,18.6,0.197,[],[],[],[],[],[]
54,False,19.6,0.206,"[38, 53]","[11.8, 4.7]",[],[],[],[]
55,False,19.0,0.089,[],[],[],[],[],[]
56,False,19.7,0.257,[82],[2.2],[],[],[],[]
57,False,22.5,0.725,[],[],[],[],[],[]
58,False,20.3,0.839,[],[],[],[],[],[]
59,False,19.0,0.21,[83],[6.6],[],[],[],[]
60,True,20.3,0.524,[59],[20.8],[],[],[],[]
61,False,20.6,0.832,[63],[3.5],[],[],[],[]
62,False,19.4,0.844,[],[],[],[],[],[]
